,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000035187,143.9337939,6.6640273,0.624624607,10.6688517,1.42E-26,6.33E-25
ENSMUSG00000095562,1396.197395,-5.038328451,0.472333628,-10.66688491,1.45E-26,6.45E-25
ENSMUSG00000031891,271.8462897,7.228471798,0.678013137,10.66125625,1.54E-26,6.84E-25
ENSMUSG00000028412,1404.948555,-1.952397428,0.183323422,-10.65001625,1.74E-26,7.70E-25
ENSMUSG00000001473,2259.2794,2.382702598,0.22375384,10.64876741,1.77E-26,7.79E-25
ENSMUSG00000003992,205.1662416,3.9310505,0.369415587,10.64126863,1.92E-26,8.42E-25
ENSMUSG00000025020,217.9585215,6.20301707,0.583102606,10.63795121,1.98E-26,8.71E-25
ENSMUSG00000026728,22708.59694,3.888324291,0.366065638,10.62193194,2.36E-26,1.03E-24
ENSMUSG00000017493,3447.328832,4.928173329,0.464175538,10.61704662,2.48E-26,1.09E-24
ENSMUSG00000022885,1006.972338,1.816696026,0.171133999,10.61563478,2.52E-26,1.10E-24
ENSMUSG00000049532,4867.451207,4.144025719,0.390467999,10.61297142,2.59E-26,1.13E-24
ENSMUSG00000047963,100.0577379,5.8647656,0.552706398,10.61099641,2.65E-26,1.15E-24
ENSMUSG00000110631,533.1428805,11.40308424,1.074695268,10.61052801,2.66E-26,1.16E-24
ENSMUSG00000028149,2131.491579,3.440716451,0.324376155,10.60718057,2.76E-26,1.19E-24
ENSMUSG00000028494,4027.07413,3.079267671,0.29039948,10.6035578,2.87E-26,1.24E-24
ENSMUSG00000068747,1271.287559,4.247802825,0.400988796,10.59332048,3.20E-26,1.38E-24
ENSMUSG00000031661,251.896801,3.663155515,0.345865476,10.59127254,3.27E-26,1.41E-24
ENSMUSG00000041649,497.150015,-3.581603131,0.338273214,-10.5879005,3.39E-26,1.46E-24
ENSMUSG00000007379,838.276357,-4.438312089,0.419643293,-10.57639228,3.83E-26,1.64E-24
ENSMUSG00000044626,470.1026819,-4.978155853,0.470769969,-10.57449749,3.91E-26,1.67E-24
ENSMUSG00000028434,513.6329751,-2.825823912,0.267459197,-10.56543931,4.31E-26,1.84E-24
ENSMUSG00000030619,2188.942785,-1.591963716,0.150804811,-10.55645179,4.74E-26,2.02E-24
ENSMUSG00000060519,917.3077288,2.056599127,0.194957542,10.54895907,5.14E-26,2.19E-24
ENSMUSG00000066456,144.4049577,5.052033635,0.47958348,10.53421114,6.01E-26,2.55E-24
ENSMUSG00000059751,5662.443942,-2.90974228,0.276289182,-10.53150999,6.18E-26,2.62E-24
ENSMUSG00000070708,247.0884143,-7.961353513,0.75602297,-10.53057093,6.25E-26,2.64E-24
ENSMUSG00000033350,240.2833193,3.589454888,0.34093463,10.52827895,6.40E-26,2.70E-24
ENSMUSG00000032020,204.0815975,5.832550704,0.554939974,10.5102371,7.75E-26,3.27E-24
ENSMUSG00000051316,1950.746301,-2.716361089,0.258634069,-10.50271953,8.39E-26,3.53E-24
ENSMUSG00000031274,128.5152165,7.195086736,0.68513683,10.50167853,8.49E-26,3.56E-24
ENSMUSG00000030123,458.9924603,5.164605975,0.491993711,10.49730079,8.89E-26,3.73E-24
