"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000058672",724.882561057785,-2.79142563564761,0.22480340595542,-12.4171856906882,2.10848883217215e-35,2.99001046447207e-33
"ENSMUSG00000054364",1596.36671659544,-3.37950829595852,0.272344935645766,-12.408926525273,2.33765893562935e-35,3.29244153763742e-33
"ENSMUSG00000040690",194.68806166996,-4.84685442271095,0.391500374496867,-12.380203796586,3.34492355580387e-35,4.67927684455158e-33
"ENSMUSG00000058126",10811.9124477949,2.71365268810486,0.219855319700534,12.3429021039888,5.32030156076878e-35,7.3927196989367e-33
"ENSMUSG00000024486",415.480243448879,-5.67499164387813,0.460854194295935,-12.3140718129907,7.60854956701846e-35,1.05018273490367e-32
"ENSMUSG00000027669",525.531809277076,-2.83484521828415,0.230245685648635,-12.3122620530238,7.78112970860729e-35,1.06689079130467e-32
"ENSMUSG00000039542",583.646281726662,-3.79016750810712,0.30843448411865,-12.2884038694231,1.04549959209054e-34,1.42408049701596e-32
"ENSMUSG00000058056",2534.13025740443,-2.88152941517993,0.234754134587062,-12.274669497296,1.238967015108e-34,1.6765734039736e-32
"ENSMUSG00000039191",2170.64329144635,-2.22318156444718,0.181622936557418,-12.2406432061204,1.88532592288513e-34,2.51830889725251e-32
"ENSMUSG00000054342",188.734401362297,-8.30933381826575,0.678804036382354,-12.2411379026999,1.87386902631284e-34,2.51830889725251e-32
"ENSMUSG00000017493",3447.32883181064,-4.91036948168558,0.401708081037305,-12.2237259180992,2.32193575776357e-34,3.08162550825237e-32
"ENSMUSG00000027333",571.039775026255,-3.59036813733096,0.294482160138448,-12.1921414038901,3.42306543068259e-34,4.5140857755957e-32
"ENSMUSG00000019124",403.34892298959,-4.62078486757005,0.380526049091724,-12.1431499330976,6.23775952951926e-34,8.17383375311181e-32
"ENSMUSG00000113251",332.070260193531,5.42770398983897,0.447731459428976,12.1226772779409,8.00990745095968e-34,1.04300077902308e-31
"ENSMUSG00000038244",461.098957267096,-6.11159162510757,0.504308063792709,-12.1187664126261,8.40141485501712e-34,1.08714308223922e-31
"ENSMUSG00000001349",327.954402046995,-3.6785719166165,0.303587343587648,-12.117013420734,8.58301666761227e-34,1.10374395705742e-31
"ENSMUSG00000032470",447.054282983936,-4.89965782288792,0.404549835198818,-12.1113825704068,9.19313826973629e-34,1.17490576997914e-31
"ENSMUSG00000050335",293.944752937076,-6.63434284672151,0.547928502173444,-12.1080447912553,9.57493653273397e-34,1.21619316548297e-31
"ENSMUSG00000029070",508.923787295231,-3.29776932987479,0.272652095065049,-12.0951549229358,1.12030717007327e-33,1.41431949080469e-31
"ENSMUSG00000030257",653.780061395694,-3.50793026152888,0.290590707624837,-12.0717220801766,1.48983559878098e-33,1.86942765073706e-31
"ENSMUSG00000068614",329.368346173733,-12.7418181545224,1.05650410393594,-12.0603584094501,1.71036972553754e-33,2.13322257816442e-31
"ENSMUSG00000045312",377.226616565968,-3.50347891978041,0.290532121740331,-12.0588350052106,1.74229959034859e-33,2.1600341747651e-31
"ENSMUSG00000049288",348.354549124949,-4.17577115515908,0.346400907279841,-12.0547350408227,1.83120416244347e-33,2.25674112971605e-31
"ENSMUSG00000020032",735.212150896913,-3.84917248631557,0.319759675670971,-12.0377044986633,2.25133266647347e-33,2.75808233885602e-31
"ENSMUSG00000047557",358.157961463086,-3.41323712474909,0.283619012178146,-12.0345850531528,2.33806613009755e-33,2.84748947985527e-31
"ENSMUSG00000022475",1195.87221565645,-3.63487689207507,0.302146585025712,-12.0301769810364,2.46631518080789e-33,2.98611634523079e-31
"ENSMUSG00000024664",132.235012884136,-4.52551503968234,0.376627913821069,-12.0158779357824,2.93238596082664e-33,3.52977435656714e-31
"ENSMUSG00000022489",488.435723496437,-3.00051124589049,0.25009489857167,-11.997490804598,3.66231608367424e-33,4.3829244044157e-31
"ENSMUSG00000074415",131.884401552263,-6.77933360635944,0.565126741841273,-11.9961295483404,3.72303216160049e-33,4.42998033757337e-31
"ENSMUSG00000053062",1871.02686485854,-4.16141142545897,0.347015449105901,-11.9920062238757,3.91311223726345e-33,4.629547186303e-31
"ENSMUSG00000004105",589.54550935787,-3.97747015424895,0.333378593867232,-11.9307904809059,8.1793078917404e-33,9.62184037446553e-31
"ENSMUSG00000032135",748.534421626959,-3.52680733126001,0.296085721820036,-11.9114400707361,1.03179710094871e-32,1.20691114000238e-30
"ENSMUSG00000004665",5892.5268304535,-4.32947627624444,0.364460031103432,-11.8791524632663,1.51899653007732e-32,1.76681484037758e-30
"ENSMUSG00000045394",4162.26531294789,2.17440969905621,0.183072326154243,11.8773259986013,1.55254696086332e-32,1.79575040657621e-30
"ENSMUSG00000024789",231.219595032548,-2.98430227169912,0.251272275854082,-11.876766991326,1.56296171985653e-32,1.79775330266165e-30
"ENSMUSG00000027907",1732.18795372072,-4.13193030995821,0.348205678168174,-11.8663496003147,1.77024631869818e-32,2.02492705979708e-30
"ENSMUSG00000004044",3241.80541392385,-4.83791158501115,0.409832523921929,-11.8046062784728,3.6951652560393e-32,4.20355502533174e-30
"ENSMUSG00000059248",7071.51282763103,-2.11320757413417,0.179425760626717,-11.7776152474033,5.09131838193812e-32,5.76014512457087e-30
"ENSMUSG00000036862",468.826768320362,-3.59303038044413,0.305232228866312,-11.7714646116804,5.47653612459671e-32,6.16229369150273e-30
"ENSMUSG00000037600",391.882441245937,2.92642932341947,0.249243189584817,11.7412609279084,7.83101011640612e-32,8.76395856486877e-30
"ENSMUSG00000039385",122.263249867873,-6.44484730212876,0.548980790688236,-11.7396590398894,7.98075437291088e-32,8.88352357724445e-30
"ENSMUSG00000040270",200.93684820326,-3.0230664340729,0.257534037471772,-11.7385121739655,8.08970628547188e-32,8.95664593232138e-30
"ENSMUSG00000136514",1136.89728854403,2.53182307748293,0.21645960933745,11.6965150460747,1.32795874147094e-31,1.4624498820965e-29
"ENSMUSG00000072235",5982.2133203505,-1.99291584519165,0.171012918437914,-11.6535982392182,2.19970446864449e-31,2.40966567824421e-29
"ENSMUSG00000024039",1720.52994036931,3.130530536186,0.268660552014264,11.6523639690124,2.23180429590095e-31,2.43196190222807e-29
"ENSMUSG00000038648",1162.03921391143,-4.25364216505618,0.365320843526085,-11.643579172762,2.4741054069474e-31,2.68187844740518e-29
"ENSMUSG00000034993",4620.04823557446,-2.76963365857176,0.239374568705545,-11.5702920053245,5.8283968447019e-31,6.28495459753689e-29
"ENSMUSG00000036990",7484.66591127101,1.51166150050277,0.130776004944428,11.5591656217448,6.63503409758652e-31,7.11770704437468e-29
"ENSMUSG00000015133",730.384375828242,-5.48968888924946,0.476268632784415,-11.5264548436772,9.70587093130927e-31,1.03582655547334e-28
"ENSMUSG00000001506",5764.65428291167,-9.03369355718361,0.784700292210093,-11.5122851958426,1.14406015039046e-30,1.21469853095816e-28
"ENSMUSG00000000489",166.017720421658,-3.94221639812925,0.342460242265203,-11.5114571316468,1.15510000369473e-30,1.22016277941304e-28
"ENSMUSG00000027309",508.948912369377,-3.12776613836706,0.272679499815333,-11.4704850950852,1.85615831946312e-30,1.95075643889159e-28
"ENSMUSG00000070348",10039.1418541995,-2.07550556955393,0.181083939762465,-11.4615662342914,2.05759795936303e-30,2.15154081568951e-28
"ENSMUSG00000068196",245.04355979057,-12.3152941646872,1.07808173591485,-11.4233399513411,3.19706522763446e-30,3.32623308909266e-28
"ENSMUSG00000110631",533.142880524312,-11.9927011616598,1.05468190285966,-11.3709177422527,5.83706037734049e-30,6.04252490262287e-28
"ENSMUSG00000096768",2600.82682623555,4.36770917074613,0.384776329571509,11.3512938168781,7.30733259962378e-30,7.52691612649805e-28
"ENSMUSG00000029337",3075.02452413508,2.81716545906508,0.248998102564954,11.314003721495,1.11865818701908e-29,1.14656926257638e-27
"ENSMUSG00000143660",339.863387402557,3.81529149898749,0.337997568391633,11.2879258781139,1.50547353322729e-29,1.53543468137625e-27
