"gene_id","gene_name","aligned.EpiSCs_rep1","aligned.EpiSCs_rep2","aligned.fPSCs_P1","aligned.fPSCs_P10","aligned.fPSCs_P20","aligned.fPSCs_P30","aligned.mESCs_rep1","aligned.mESCs_rep2"
"ENSMUSG00000026220",NA,4948.05146345361,13920.7008511921,18152.1262290912,0,0,0,139195.176551726,122113.300513129
"ENSMUSG00000026104",NA,19912.4810115164,20820.1327579375,6717.21739587922,11551.4005380237,9524.12768082522,16235.7643131752,29670.9798841804,26313.8499722976
"ENSMUSG00000026383",NA,10901.7133723148,8448.77587983267,9454.42405018997,10631.1376733898,9163.09685159294,10974.1152289062,4725.0734887569,3461.52251450987
"ENSMUSG00000060743",NA,37115.5032454317,27994.7272497422,46350.1241778073,39965.2766794481,38955.6330122526,30861.5104299822,26245.4527332139,37899.9003260032
"ENSMUSG00000038806",NA,28910.1338418088,29629.2500517756,30812.6074943508,43394.3909896136,42149.0793945704,42305.9776771534,39113.3704471406,31786.6018005041
"ENSMUSG00000103979",NA,346215.609443574,270564.639023088,317526.479439395,539299.670949195,600280.851230441,885014.269887832,1405700.90413456,1285115.09001621
"ENSMUSG00000064281",NA,194126.105448881,91024.7687505747,267059.790846215,90717.005763681,91795.2812007847,217102.901623372,253346.377901169,486875.145791887
"ENSMUSG00000101279",NA,0,162851.521817388,0,0,0,0,755432.536924517,522638.131459824
"ENSMUSG00000066652",NA,51773.4555100427,53691.033042586,59072.0371422795,4180.42959353809,9253.38483927005,5198.79623884763,140291.358291427,59534.5264067354
"ENSMUSG00000025932",NA,14834.4657075454,13521.5696228989,127.151484494987,4405.56699065313,3802.35393223276,4252.78087348792,37392.9151267648,49736.9667537255
"ENSMUSG00000026520",NA,34756.3497027468,40000.8783803333,42629.1649985282,65701.4955168859,73418.3183522523,36656.0209160892,23687.9122435577,21216.12087676
